repo_name|repo_owner|repo_starcount|repo_forkcount|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
MobileNet-Yolo|dog-qiuqiu|1466|217|MobileNetV2-YoloV3-Nano: 0.5BFlops 3MB HUAWEI P40: 6ms/img, YoloFace-500k:0.1Bflops 420KB:fire::fire::fire:|https://api.github.com/repos/dog-qiuqiu/MobileNet-Yolo|https://github.com/dog-qiuqiu/MobileNet-Yolo|https://api.github.com/repos/dog-qiuqiu/MobileNet-Yolo/stargazers|https://api.github.com/repos/dog-qiuqiu/MobileNet-Yolo/subscribers|https://api.github.com/repos/dog-qiuqiu/MobileNet-Yolo/forks|https://api.github.com/repos/dog-qiuqiu/MobileNet-Yolo/languages
wufuc|zeffy|1462|191|"Disables the ""Unsupported Hardware"" message in Windows Update, and allows you to continue installing updates on Windows 7 and 8.1 systems with Intel Kaby Lake, AMD Ryzen, or other unsupported processors."|https://api.github.com/repos/zeffy/wufuc|https://github.com/zeffy/wufuc|https://api.github.com/repos/zeffy/wufuc/stargazers|https://api.github.com/repos/zeffy/wufuc/subscribers|https://api.github.com/repos/zeffy/wufuc/forks|https://api.github.com/repos/zeffy/wufuc/languages
RTKLIB|tomojitakasu|1459|1114||https://api.github.com/repos/tomojitakasu/RTKLIB|https://github.com/tomojitakasu/RTKLIB|https://api.github.com/repos/tomojitakasu/RTKLIB/stargazers|https://api.github.com/repos/tomojitakasu/RTKLIB/subscribers|https://api.github.com/repos/tomojitakasu/RTKLIB/forks|https://api.github.com/repos/tomojitakasu/RTKLIB/languages
myhtml|lexborisov|1459|144|Fast C/C++ HTML 5 Parser. Using threads.|https://api.github.com/repos/lexborisov/myhtml|https://github.com/lexborisov/myhtml|https://api.github.com/repos/lexborisov/myhtml/stargazers|https://api.github.com/repos/lexborisov/myhtml/subscribers|https://api.github.com/repos/lexborisov/myhtml/forks|https://api.github.com/repos/lexborisov/myhtml/languages
projectsandcastle|corellium|1458|122|Supporting tools for Android/Linux on the iPhone|https://api.github.com/repos/corellium/projectsandcastle|https://github.com/corellium/projectsandcastle|https://api.github.com/repos/corellium/projectsandcastle/stargazers|https://api.github.com/repos/corellium/projectsandcastle/subscribers|https://api.github.com/repos/corellium/projectsandcastle/forks|https://api.github.com/repos/corellium/projectsandcastle/languages
pyrebox|Cisco-Talos|1455|239|Python scriptable Reverse Engineering Sandbox, a Virtual Machine instrumentation and inspection framework based on QEMU|https://api.github.com/repos/Cisco-Talos/pyrebox|https://github.com/Cisco-Talos/pyrebox|https://api.github.com/repos/Cisco-Talos/pyrebox/stargazers|https://api.github.com/repos/Cisco-Talos/pyrebox/subscribers|https://api.github.com/repos/Cisco-Talos/pyrebox/forks|https://api.github.com/repos/Cisco-Talos/pyrebox/languages
xdotool|jordansissel|1455|212|fake keyboard/mouse input, window management, and more |https://api.github.com/repos/jordansissel/xdotool|https://github.com/jordansissel/xdotool|https://api.github.com/repos/jordansissel/xdotool/stargazers|https://api.github.com/repos/jordansissel/xdotool/subscribers|https://api.github.com/repos/jordansissel/xdotool/forks|https://api.github.com/repos/jordansissel/xdotool/languages
athame|ardagnir|1454|28|Full vim for your shell (bash, zsh, gdb, python, etc)|https://api.github.com/repos/ardagnir/athame|https://github.com/ardagnir/athame|https://api.github.com/repos/ardagnir/athame/stargazers|https://api.github.com/repos/ardagnir/athame/subscribers|https://api.github.com/repos/ardagnir/athame/forks|https://api.github.com/repos/ardagnir/athame/languages
darknet|hgpvision|1453|464|darknet深度学习框架源码分析：详细中文注释，涵盖框架原理与实现语法分析|https://api.github.com/repos/hgpvision/darknet|https://github.com/hgpvision/darknet|https://api.github.com/repos/hgpvision/darknet/stargazers|https://api.github.com/repos/hgpvision/darknet/subscribers|https://api.github.com/repos/hgpvision/darknet/forks|https://api.github.com/repos/hgpvision/darknet/languages
httpserver.h|jeremycw|1450|93|Single header library for writing non-blocking HTTP servers in C|https://api.github.com/repos/jeremycw/httpserver.h|https://github.com/jeremycw/httpserver.h|https://api.github.com/repos/jeremycw/httpserver.h/stargazers|https://api.github.com/repos/jeremycw/httpserver.h/subscribers|https://api.github.com/repos/jeremycw/httpserver.h/forks|https://api.github.com/repos/jeremycw/httpserver.h/languages
unqlite|symisc|1446|130|An Embedded NoSQL, Transactional Database Engine|https://api.github.com/repos/symisc/unqlite|https://github.com/symisc/unqlite|https://api.github.com/repos/symisc/unqlite/stargazers|https://api.github.com/repos/symisc/unqlite/subscribers|https://api.github.com/repos/symisc/unqlite/forks|https://api.github.com/repos/symisc/unqlite/languages
ShadowVPN|clowwindy|1445|1150|Removed according to regulations.|https://api.github.com/repos/clowwindy/ShadowVPN|https://github.com/clowwindy/ShadowVPN|https://api.github.com/repos/clowwindy/ShadowVPN/stargazers|https://api.github.com/repos/clowwindy/ShadowVPN/subscribers|https://api.github.com/repos/clowwindy/ShadowVPN/forks|https://api.github.com/repos/clowwindy/ShadowVPN/languages
open62541|open62541|1443|754|Open source implementation of OPC UA (OPC Unified Architecture) aka IEC 62541 licensed under Mozilla Public License v2.0|https://api.github.com/repos/open62541/open62541|https://github.com/open62541/open62541|https://api.github.com/repos/open62541/open62541/stargazers|https://api.github.com/repos/open62541/open62541/subscribers|https://api.github.com/repos/open62541/open62541/forks|https://api.github.com/repos/open62541/open62541/languages
ubertooth|greatscottgadgets|1440|355|Software, firmware and hardware designs for Ubertooth|https://api.github.com/repos/greatscottgadgets/ubertooth|https://github.com/greatscottgadgets/ubertooth|https://api.github.com/repos/greatscottgadgets/ubertooth/stargazers|https://api.github.com/repos/greatscottgadgets/ubertooth/subscribers|https://api.github.com/repos/greatscottgadgets/ubertooth/forks|https://api.github.com/repos/greatscottgadgets/ubertooth/languages
passivedns|gamelinux|1440|373|A network sniffer that logs all DNS server replies for use in a passive DNS setup|https://api.github.com/repos/gamelinux/passivedns|https://github.com/gamelinux/passivedns|https://api.github.com/repos/gamelinux/passivedns/stargazers|https://api.github.com/repos/gamelinux/passivedns/subscribers|https://api.github.com/repos/gamelinux/passivedns/forks|https://api.github.com/repos/gamelinux/passivedns/languages
pbc|cloudwu|1437|542|A protocol buffers library for C|https://api.github.com/repos/cloudwu/pbc|https://github.com/cloudwu/pbc|https://api.github.com/repos/cloudwu/pbc/stargazers|https://api.github.com/repos/cloudwu/pbc/subscribers|https://api.github.com/repos/cloudwu/pbc/forks|https://api.github.com/repos/cloudwu/pbc/languages
opengles3-book|danginsburg|1437|628|OpenGL ES 3.0 Programming Guide Sample Code|https://api.github.com/repos/danginsburg/opengles3-book|https://github.com/danginsburg/opengles3-book|https://api.github.com/repos/danginsburg/opengles3-book/stargazers|https://api.github.com/repos/danginsburg/opengles3-book/subscribers|https://api.github.com/repos/danginsburg/opengles3-book/forks|https://api.github.com/repos/danginsburg/opengles3-book/languages
