repo_name|repo_owner|#_memcmp|#_memcpy|#_strcmp|#_strcpy|#_stars|#_forks|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
mpc|orangeduck|0|1|8|2|2080|244|A Parser Combinator library for C|https://api.github.com/repos/orangeduck/mpc|https://github.com/orangeduck/mpc|https://api.github.com/repos/orangeduck/mpc/stargazers|https://api.github.com/repos/orangeduck/mpc/subscribers|https://api.github.com/repos/orangeduck/mpc/forks|https://api.github.com/repos/orangeduck/mpc/languages
aubio|aubio|0|16|11|1|2077|307|a library for audio and music analysis|https://api.github.com/repos/aubio/aubio|https://github.com/aubio/aubio|https://api.github.com/repos/aubio/aubio/stargazers|https://api.github.com/repos/aubio/aubio/subscribers|https://api.github.com/repos/aubio/aubio/forks|https://api.github.com/repos/aubio/aubio/languages
libopencm3|libopencm3|0|5|0|0|2070|794|Open source ARM Cortex-M microcontroller library|https://api.github.com/repos/libopencm3/libopencm3|https://github.com/libopencm3/libopencm3|https://api.github.com/repos/libopencm3/libopencm3/stargazers|https://api.github.com/repos/libopencm3/libopencm3/subscribers|https://api.github.com/repos/libopencm3/libopencm3/forks|https://api.github.com/repos/libopencm3/libopencm3/languages
pwnat|samyk|2|8|2|0|2070|369|The only tool and technique to punch holes through firewalls/NATs where both clients and server can be behind separate NATs without any 3rd party involvement. Pwnat uses a newly developed technique, exploiting a property of NAT translation tables, with no 3rd party, port forwarding, DMZ, router administrative requirements, STUN/TURN/UPnP/ICE, or spoofing required.|https://api.github.com/repos/samyk/pwnat|https://github.com/samyk/pwnat|https://api.github.com/repos/samyk/pwnat/stargazers|https://api.github.com/repos/samyk/pwnat/subscribers|https://api.github.com/repos/samyk/pwnat/forks|https://api.github.com/repos/samyk/pwnat/languages
libffi|libffi|1|48|2|0|2069|488|A portable foreign-function interface library.|https://api.github.com/repos/libffi/libffi|https://github.com/libffi/libffi|https://api.github.com/repos/libffi/libffi/stargazers|https://api.github.com/repos/libffi/libffi/subscribers|https://api.github.com/repos/libffi/libffi/forks|https://api.github.com/repos/libffi/libffi/languages
webgl-noise|ashima|0|0|0|0|2061|236|Procedural Noise Shader Routines compatible with WebGL|https://api.github.com/repos/ashima/webgl-noise|https://github.com/ashima/webgl-noise|https://api.github.com/repos/ashima/webgl-noise/stargazers|https://api.github.com/repos/ashima/webgl-noise/subscribers|https://api.github.com/repos/ashima/webgl-noise/forks|https://api.github.com/repos/ashima/webgl-noise/languages
social-share-urls|bradvin|0|0|0|2|2060|250|Social Share URLs|https://api.github.com/repos/bradvin/social-share-urls|https://github.com/bradvin/social-share-urls|https://api.github.com/repos/bradvin/social-share-urls/stargazers|https://api.github.com/repos/bradvin/social-share-urls/subscribers|https://api.github.com/repos/bradvin/social-share-urls/forks|https://api.github.com/repos/bradvin/social-share-urls/languages
Arduino_STM32|rogerclarkmelbourne|13|55|18|16|2059|1079|Arduino STM32. Hardware files to support STM32 boards, on Arduino IDE 1.8.x including LeafLabs Maple and other generic STM32F103 boards|https://api.github.com/repos/rogerclarkmelbourne/Arduino_STM32|https://github.com/rogerclarkmelbourne/Arduino_STM32|https://api.github.com/repos/rogerclarkmelbourne/Arduino_STM32/stargazers|https://api.github.com/repos/rogerclarkmelbourne/Arduino_STM32/subscribers|https://api.github.com/repos/rogerclarkmelbourne/Arduino_STM32/forks|https://api.github.com/repos/rogerclarkmelbourne/Arduino_STM32/languages
rugged|libgit2|0|1|1|2|2057|273|ruby bindings to libgit2|https://api.github.com/repos/libgit2/rugged|https://github.com/libgit2/rugged|https://api.github.com/repos/libgit2/rugged/stargazers|https://api.github.com/repos/libgit2/rugged/subscribers|https://api.github.com/repos/libgit2/rugged/forks|https://api.github.com/repos/libgit2/rugged/languages
ZQCNN|zuoqing1988|2|110|30|5|2048|486|一款比mini-caffe更快的Forward库，觉得好用请点星啊，400星公布快速人脸检测模型，500星公布106点landmark，600星公布人头检测模型，700星公布人脸检测套餐（六种pnet,两种rnet随意混合使用满足各种速度/精度要求），800星公布更准的106点模型|https://api.github.com/repos/zuoqing1988/ZQCNN|https://github.com/zuoqing1988/ZQCNN|https://api.github.com/repos/zuoqing1988/ZQCNN/stargazers|https://api.github.com/repos/zuoqing1988/ZQCNN/subscribers|https://api.github.com/repos/zuoqing1988/ZQCNN/forks|https://api.github.com/repos/zuoqing1988/ZQCNN/languages
compton|chjj|0|5|5|1|2045|532|A compositor for X11.|https://api.github.com/repos/chjj/compton|https://github.com/chjj/compton|https://api.github.com/repos/chjj/compton/stargazers|https://api.github.com/repos/chjj/compton/subscribers|https://api.github.com/repos/chjj/compton/forks|https://api.github.com/repos/chjj/compton/languages
earth-reverse-engineering|retroplasma|1|5|2|2|2040|164|Reversing Google's 3D satellite mode|https://api.github.com/repos/retroplasma/earth-reverse-engineering|https://github.com/retroplasma/earth-reverse-engineering|https://api.github.com/repos/retroplasma/earth-reverse-engineering/stargazers|https://api.github.com/repos/retroplasma/earth-reverse-engineering/subscribers|https://api.github.com/repos/retroplasma/earth-reverse-engineering/forks|https://api.github.com/repos/retroplasma/earth-reverse-engineering/languages
flex|westes|0|2|7|11|2036|382|The Fast Lexical Analyzer - scanner generator for lexing in C and C++|https://api.github.com/repos/westes/flex|https://github.com/westes/flex|https://api.github.com/repos/westes/flex/stargazers|https://api.github.com/repos/westes/flex/subscribers|https://api.github.com/repos/westes/flex/forks|https://api.github.com/repos/westes/flex/languages
glb-director|github|0|14|2|3|2030|202|GitHub Load Balancer Director and supporting tooling.|https://api.github.com/repos/github/glb-director|https://github.com/github/glb-director|https://api.github.com/repos/github/glb-director/stargazers|https://api.github.com/repos/github/glb-director/subscribers|https://api.github.com/repos/github/glb-director/forks|https://api.github.com/repos/github/glb-director/languages
starrtc-server|starrtc|0|0|0|0|2030|652|免费IM系统，IM即时通信消息系统(含一对一文字聊天，群聊，聊天室)，免费一对一voip实时通话，录屏，webrtc服务端，免费直播连麦，互动直播，视频直播，RTSP拉流，RTMP推流，语音对讲，免费在线会议，视频会议等服务端程序，支持物联网平台，✨万水千山总是情，来个star行不行✨|https://api.github.com/repos/starrtc/starrtc-server|https://github.com/starrtc/starrtc-server|https://api.github.com/repos/starrtc/starrtc-server/stargazers|https://api.github.com/repos/starrtc/starrtc-server/subscribers|https://api.github.com/repos/starrtc/starrtc-server/forks|https://api.github.com/repos/starrtc/starrtc-server/languages
minhook|TsudaKageyu|0|2|0|0|2027|529|The Minimalistic x86/x64 API Hooking Library for Windows|https://api.github.com/repos/TsudaKageyu/minhook|https://github.com/TsudaKageyu/minhook|https://api.github.com/repos/TsudaKageyu/minhook/stargazers|https://api.github.com/repos/TsudaKageyu/minhook/subscribers|https://api.github.com/repos/TsudaKageyu/minhook/forks|https://api.github.com/repos/TsudaKageyu/minhook/languages
swift-corelibs-libdispatch|apple|7|16|2|2|2016|367|The libdispatch Project, (a.k.a. Grand Central Dispatch), for concurrency on multicore hardware|https://api.github.com/repos/apple/swift-corelibs-libdispatch|https://github.com/apple/swift-corelibs-libdispatch|https://api.github.com/repos/apple/swift-corelibs-libdispatch/stargazers|https://api.github.com/repos/apple/swift-corelibs-libdispatch/subscribers|https://api.github.com/repos/apple/swift-corelibs-libdispatch/forks|https://api.github.com/repos/apple/swift-corelibs-libdispatch/languages
premake-core|premake|114|179|81|33|2008|445|Premake|https://api.github.com/repos/premake/premake-core|https://github.com/premake/premake-core|https://api.github.com/repos/premake/premake-core/stargazers|https://api.github.com/repos/premake/premake-core/subscribers|https://api.github.com/repos/premake/premake-core/forks|https://api.github.com/repos/premake/premake-core/languages
jsmpeg-vnc|phoboslab|0|5|2|0|2002|347|A low latency, high framerate screen sharing server for Windows and client for browsers|https://api.github.com/repos/phoboslab/jsmpeg-vnc|https://github.com/phoboslab/jsmpeg-vnc|https://api.github.com/repos/phoboslab/jsmpeg-vnc/stargazers|https://api.github.com/repos/phoboslab/jsmpeg-vnc/subscribers|https://api.github.com/repos/phoboslab/jsmpeg-vnc/forks|https://api.github.com/repos/phoboslab/jsmpeg-vnc/languages
wasm-micro-runtime|bytecodealliance|10|50|40|14|1999|189|WebAssembly Micro Runtime (WAMR)|https://api.github.com/repos/bytecodealliance/wasm-micro-runtime|https://github.com/bytecodealliance/wasm-micro-runtime|https://api.github.com/repos/bytecodealliance/wasm-micro-runtime/stargazers|https://api.github.com/repos/bytecodealliance/wasm-micro-runtime/subscribers|https://api.github.com/repos/bytecodealliance/wasm-micro-runtime/forks|https://api.github.com/repos/bytecodealliance/wasm-micro-runtime/languages
netcode|networkprotocol|7|5|0|0|1997|150|A protocol for secure client/server connections over UDP|https://api.github.com/repos/networkprotocol/netcode|https://github.com/networkprotocol/netcode|https://api.github.com/repos/networkprotocol/netcode/stargazers|https://api.github.com/repos/networkprotocol/netcode/subscribers|https://api.github.com/repos/networkprotocol/netcode/forks|https://api.github.com/repos/networkprotocol/netcode/languages
wax|probablycorey|3|12|6|5|1996|648|Wax is now being maintained by alibaba|https://api.github.com/repos/probablycorey/wax|https://github.com/probablycorey/wax|https://api.github.com/repos/probablycorey/wax/stargazers|https://api.github.com/repos/probablycorey/wax/subscribers|https://api.github.com/repos/probablycorey/wax/forks|https://api.github.com/repos/probablycorey/wax/languages
hidapi|signal11|0|3|3|1|1991|812|A Simple library for communicating with USB and Bluetooth HID devices on Linux, Mac, and Windows.|https://api.github.com/repos/signal11/hidapi|https://github.com/signal11/hidapi|https://api.github.com/repos/signal11/hidapi/stargazers|https://api.github.com/repos/signal11/hidapi/subscribers|https://api.github.com/repos/signal11/hidapi/forks|https://api.github.com/repos/signal11/hidapi/languages
msquic|microsoft|18|40|14|3|1991|208|Cross-platform, C implementation of the IETF QUIC protocol.|https://api.github.com/repos/microsoft/msquic|https://github.com/microsoft/msquic|https://api.github.com/repos/microsoft/msquic/stargazers|https://api.github.com/repos/microsoft/msquic/subscribers|https://api.github.com/repos/microsoft/msquic/forks|https://api.github.com/repos/microsoft/msquic/languages
yajl|lloyd|0|5|2|0|1990|405|A fast streaming JSON parsing library in C.|https://api.github.com/repos/lloyd/yajl|https://github.com/lloyd/yajl|https://api.github.com/repos/lloyd/yajl/stargazers|https://api.github.com/repos/lloyd/yajl/subscribers|https://api.github.com/repos/lloyd/yajl/forks|https://api.github.com/repos/lloyd/yajl/languages
better-cloudflare-ip|badafans|1|1|2|0|1982|1417|查找适合自己当前网络环境的优选cloudflare anycast IP|https://api.github.com/repos/badafans/better-cloudflare-ip|https://github.com/badafans/better-cloudflare-ip|https://api.github.com/repos/badafans/better-cloudflare-ip/stargazers|https://api.github.com/repos/badafans/better-cloudflare-ip/subscribers|https://api.github.com/repos/badafans/better-cloudflare-ip/forks|https://api.github.com/repos/badafans/better-cloudflare-ip/languages
haxm|intel|4|9|0|3|1971|463|Intel® Hardware Accelerated Execution Manager (Intel® HAXM)|https://api.github.com/repos/intel/haxm|https://github.com/intel/haxm|https://api.github.com/repos/intel/haxm/stargazers|https://api.github.com/repos/intel/haxm/subscribers|https://api.github.com/repos/intel/haxm/forks|https://api.github.com/repos/intel/haxm/languages
geany|geany|6|26|82|12|1970|490|A fast and lightweight IDE|https://api.github.com/repos/geany/geany|https://github.com/geany/geany|https://api.github.com/repos/geany/geany/stargazers|https://api.github.com/repos/geany/geany/subscribers|https://api.github.com/repos/geany/geany/forks|https://api.github.com/repos/geany/geany/languages
AirConnect|philippe44|4|8|8|7|1968|146|Use AirPlay to stream to UPnP/Sonos & Chromecast devices|https://api.github.com/repos/philippe44/AirConnect|https://github.com/philippe44/AirConnect|https://api.github.com/repos/philippe44/AirConnect/stargazers|https://api.github.com/repos/philippe44/AirConnect/subscribers|https://api.github.com/repos/philippe44/AirConnect/forks|https://api.github.com/repos/philippe44/AirConnect/languages
cava|karlstav|0|3|5|2|1963|149|Console-based Audio Visualizer for Alsa|https://api.github.com/repos/karlstav/cava|https://github.com/karlstav/cava|https://api.github.com/repos/karlstav/cava/stargazers|https://api.github.com/repos/karlstav/cava/subscribers|https://api.github.com/repos/karlstav/cava/forks|https://api.github.com/repos/karlstav/cava/languages
sl|mtoyoda|0|0|0|0|1962|306|SL(1): Cure your bad habit of mistyping|https://api.github.com/repos/mtoyoda/sl|https://github.com/mtoyoda/sl|https://api.github.com/repos/mtoyoda/sl/stargazers|https://api.github.com/repos/mtoyoda/sl/subscribers|https://api.github.com/repos/mtoyoda/sl/forks|https://api.github.com/repos/mtoyoda/sl/languages
